datetime,tweet
2022-03-25 23:54:13,The Tennessee Bureau of Investigation has issued an Amber Alert for a missing one-year-old child from Franklin. https://t.co/O4ePpgGjJE
2022-03-25 23:54:13,The Tennessee Bureau of Investigation has issued an Amber Alert for a missing one-year-old child from Franklin. https://t.co/ipGtrpxrXQ
2022-03-25 23:54:13,The Tennessee Bureau of Investigation has issued an Amber Alert for a missing one-year-old child from Franklin. https://t.co/1nBYiKEono
2022-03-25 23:54:13,The Tennessee Bureau of Investigation has issued an Amber Alert for a missing one-year-old child from Franklin. https://t.co/IOcCpWbkuO
2022-03-25 23:54:12,The Tennessee Bureau of Investigation has issued an Amber Alert for a missing one-year-old child from Franklin. https://t.co/32Dvy9UZBQ
2022-03-25 23:53:55,TBI Issues Amber Alert for Franklin Child: https://t.co/IEo6D1iS5N
2022-03-25 23:51:52,"@TBInvestigation @FranklinTNPD Why did it take also a month to issue and Amber Alert,Duh! A month, What’s up with That???"
2022-03-25 23:47:31,"🚨 AMBER Alert 🚨 | TBI has issued an AMBER Alert for a one-year-old child who has gone missing out of Franklin.

The child has been missing since February 27th.

Agents believe Aziah Lumpkin may be with his non-custodial father Sharles Lumpkin. https://t.co/oL94aLw72k"
2022-03-25 23:47:27,"@TBInvestigation @FranklinTNPD I thought it was a mistake because it had been so long.  But it's not race related. It said in the description....""Franklin TNPD requested TBIs assistance today"". So that's why it is now an amber alert."
2022-03-25 23:46:35,"TBI Issues Amber Alert for Franklin, TN Child - https://t.co/RHPAgkH7ZM"
2022-03-25 23:45:36,Just looked at previous amber alerts made by the TBI and white children were posted within a few days yet it took you a month to post this black BABY boys alert? What in the racial injustice horse sh*t is this? There are no words. I hope he’s found safe and returned to family 😭 https://t.co/5wPC30bagw
2022-03-25 23:45:08,"TENNESSEE AMBER ALERT: Father wanted in connection to missing 1-year-old child, TBI says  https://t.co/1KvQqPnTxb"
2022-03-25 23:43:39,@TBInvestigation @MEM_PoliceDept @FranklinTNPD So a month later we get an Amber alert regarding a child of color missing? 😡 makes me wonder how many we are NOT getting at all!!!! Tennessee must do better!!!!!! I want an explanation as to why it has taken so long to get this Amber Alert out!!!
2022-03-25 23:43:39,"TBI Issues Amber Alert for Franklin, TN Child: https://t.co/Ba55JOrY8Z"
2022-03-25 23:40:13,Amber alert for Nashville area - Franklin TN #amberalert #nashville https://t.co/XYz5Vfe5S5
2022-03-25 23:38:38,"#BREAKING @AMBERAlert issued by @TBInvestigation for missing Middle Tennessee baby:

https://t.co/siSOd1i98q"
2022-03-25 23:38:23,"@FranklinTNPD your feed is blowing up about a month long delayed amber alert, we are all waiting for a response. Was it because the family neglected to report it? Was it because Franklin PD dropped the ball? This does not look good. Probably best to clear that up!!"
2022-03-25 23:37:56,AMBER Alert issued for Franklin child https://t.co/INaa6BnskP
2022-03-25 23:37:29,TBI issues Amber Alert for missing Middle Tennessee 1-year-old baby https://t.co/ev2tP9wPQl
2022-03-25 23:37:16,"AMBER ALERT: The TBI is asking for help finding a one-year-old missing out of Franklin, Tennessee. She is believed to be with her non-custodial father who is facing kidnapping charges.

SPREAD THE WORD:

https://t.co/rUIdX2DVF5"
2022-03-25 23:36:54,TBI issues Amber Alert for missing Middle Tennessee 1-year-old baby https://t.co/2nscxKZqG0
2022-03-25 23:35:44,TBI issues AMBER Alert for missing 1-year-old from Franklin https://t.co/8USf8vSxS0
2022-03-25 23:35:09,I hope I can become a dad some day so I can give my kids something I never had. An Amber Alert
2022-03-25 23:34:13,"@TBInvestigation @FranklinTNPD This child has been missing for nearly 28 days and we're just now hearing about it? How come? This amber alert should have been issued minutes if not hours after acknowledgment he disappeared. For all we know, the noncustodial father could have killed the young boy by now!"
