datetime,tweet
2022-03-26 23:59:44,"There should be a Amber Alert across Canada on April 1, for theft of Canadians due to NDP/Liberal Carbon tax."
2022-03-26 23:59:14,"Today's Amber Alert in BC has been cancelled.

https://t.co/vvNRrB8Fxn"
2022-03-26 23:59:03,"@rcmpgrcpolice @BCRCMPMedia it's great that you have the amber alert system, and that it worked. but you missed adding the height (and/or weight) in metric. https://t.co/0JAuG0x7Gs"
2022-03-26 23:57:48,"Amber Alert in northern B.C. cancelled, suspect arrested in Ontario, RCMP say https://t.co/vwXKVXfkrX"
2022-03-26 23:57:41,"So glad to hear they have been found safe, in Ontario. Amber Alert for the win! 🙌 https://t.co/ImblqSnSVE"
2022-03-26 23:56:26,@Kristy91808800 These children were found safely in Ontario - amber alert now cancelled
2022-03-26 23:56:12,"tell me why i thought we got nuked this morning, but it was “just” an amber alert 💀 got me hyped for no reason"
2022-03-26 23:55:33,Amber Alert for two missing children stood down after family found safe in Ontario https://t.co/gmo3MVn3Ge https://t.co/OrY9pSedWC
2022-03-26 23:55:33,Subjects of Fort St. John Amber Alert found safe in Ontario https://t.co/lhw8CItUjL #cityofpg https://t.co/Pv5BqUauGN
2022-03-26 23:55:21,"Amber Alert in northern B.C. cancelled, suspect arrested in Ontario, RCMP say https://t.co/DRz8Q2NdNd"
2022-03-26 23:55:12,UPDATE: Amber Alert cancelled - https://t.co/73JUGonfuJ https://t.co/daXxBEw2Is
2022-03-26 23:54:45,"**UPDATE** Mother and Children have been located, suspect is in custody! https://t.co/DWSmWKd0KC"
2022-03-26 23:54:38,"Amber Alert in northern B.C. cancelled, suspect arrested in Ontario, RCMP say https://t.co/q1t2gQamWB"
2022-03-26 23:53:02,Kids found safe in Ontario after Amber Alert issued in BC | News https://t.co/VzkxmPtCGx
2022-03-26 23:53:02,"B.C. Amber Alert cancelled, suspect arrested in Ontario, RCMP say | CTV News
#bcpoli #cdnpoli https://t.co/oG0hd9qc1X"
2022-03-26 23:52:16,UPDATE: AMBER ALERT cancelled https://t.co/ALvWuF9CS5
2022-03-26 23:52:02,"An inter-provincial Amber Alert issued in B.C. on Saturday has ended with an arrest in Ontario, according to RCMP.  https://t.co/CPMDrgjYYo"
2022-03-26 23:51:34,"@BCRCMP Amber alert cancelled as per @rcmpmb 

https://t.co/gZYa3uGhYY"
2022-03-26 23:51:10,@AnonymousLdb I can't see the tweet but I already know that I agree with you. What kind of loser complains about an Amber Alert?
2022-03-26 23:51:04,"AMBER ALERT CANCELLED: Two children abducted in Fort St. John, B.C. https://t.co/adYHsQOR9a"
