26/3/2022 23:59,"b'There should be a Amber Alert across Canada on April 1, for theft of Canadians due to NDP/Liberal Carbon tax.'",2
26/3/2022 23:59,"b""Today's Amber Alert in BC has been cancelled.\n\nhttps://t.co/vvNRrB8Fxn""",1
26/3/2022 23:59,"b""@rcmpgrcpolice @BCRCMPMedia it's great that you have the amber alert system, and that it worked. but you missed add\xe2\x80\xa6 https://t.co/e9utj31llW""",2
26/3/2022 23:57,"b'Amber Alert in northern B.C. cancelled, suspect arrested in Ontario, RCMP say https://t.co/vwXKVXfkrX'",2
26/3/2022 23:57,"b'So glad to hear they have been found safe, in Ontario. Amber Alert for the win! \xf0\x9f\x99\x8c https://t.co/ImblqSnSVE'",2
26/3/2022 23:56,b'@Kristy91808800 These children were found safely in Ontario - amber alert now cancelled',2
26/3/2022 23:56,"b'tell me why i thought we got nuked this morning, but it was \xe2\x80\x9cjust\xe2\x80\x9d an amber alert \xf0\x9f\x92\x80 got me hyped for no reason'",0
26/3/2022 23:55,b'Amber Alert for two missing children stood down after family found safe in Ontario https://t.co/gmo3MVn3Ge https://t.co/OrY9pSedWC',2
26/3/2022 23:55,b'Subjects of Fort St. John Amber Alert found safe in Ontario https://t.co/lhw8CItUjL #cityofpg https://t.co/Pv5BqUauGN',2
26/3/2022 23:55,"b'Amber Alert in northern B.C. cancelled, suspect arrested in Ontario, RCMP say https://t.co/DRz8Q2NdNd'",2
26/3/2022 23:55,b'UPDATE: Amber Alert cancelled - https://t.co/73JUGonfuJ https://t.co/daXxBEw2Is',2
26/3/2022 23:54,"b'**UPDATE** Mother and Children have been located, suspect is in custody! https://t.co/DWSmWKd0KC'",2
26/3/2022 23:54,"b'Amber Alert in northern B.C. cancelled, suspect arrested in Ontario, RCMP say https://t.co/q1t2gQamWB'",2
26/3/2022 23:53,b'Kids found safe in Ontario after Amber Alert issued in BC | News https://t.co/VzkxmPtCGx',2
26/3/2022 23:53,"b'B.C. Amber Alert cancelled, suspect arrested in Ontario, RCMP say | CTV News\n#bcpoli #cdnpoli https://t.co/oG0hd9qc1X'",2
26/3/2022 23:52,b'UPDATE: AMBER ALERT cancelled https://t.co/ALvWuF9CS5',2
26/3/2022 23:52,"b'An inter-provincial Amber Alert issued in B.C. on Saturday has ended with an arrest in Ontario, according to RCMP.  https://t.co/CPMDrgjYYo'",2
