datetime,tweet
2022-03-31 23:53:02,"The bill would put an advisory alert system in place for missing Indigenous people who are believed to be in danger, but who do not qualify for an America’s Missing Broadcast Emergency Response (AMBER) alert. https://t.co/N12R2NkIvB"
2022-03-31 23:38:24,literally hundreds of amber alert kids in that basement https://t.co/DpfeX0AtFv
2022-03-31 23:37:39,Amber Alert !! Last seen 22 game's ago. Reward offered to if the #GoKingsGo can make the post season https://t.co/UHt3Ww73R7
2022-03-31 23:30:39,I’m finna put out an amber alert 🤔
2022-03-31 23:25:13,"Man involved in Magna Amber Alert investigation charged with rape, kidnapping https://t.co/orilmyNGsU"
2022-03-31 23:25:03,Indigenous missing people Bill has been passed ✊️Today..Just like a Amber Alert
2022-03-31 23:07:50,@Acyn this should be an AMBER alert.
2022-03-31 23:06:53,"Amber Alert in northern B.C. cancelled, suspect arrested in Ontario, RCMP say https://t.co/KZDj9ssHpK  poor kids"
2022-03-31 23:06:08,"A man identified as 20-year-old Frank David Lopez-Orellana is facing charges after he took a girl from Magna, Utah to Texas with him.
https://t.co/LF7OGUoRIO"
2022-03-31 22:52:04,"🚨SIGNING ALERT🚨

Amber Yung has officially signed with XWS! https://t.co/XOldqRgusU"
2022-03-31 22:44:19,@PeelPolice @nejsnave We have 'Amber alerts' for kids.  Have police considered doing a similar medial alert for 'wanderers'? People with mental acuity issues and seniors who have wandered away from their carers?
2022-03-31 22:44:03,"@TwitteeBoy Social cohesion broke when he announced the 2nd curfew and placed an amber alert on New Year's Eve like an hour or so before the RadCan specials. So now, if he wants to win, everything must be kept open. He loses (or will struggle badly) with a 4th lockdown. That's how I see it."
2022-03-31 22:21:33,"Amber Alert activated in Yucatan, a 4-year-old boy is reported missing https://t.co/TJnDs15Cc7"
2022-03-31 22:00:02,Washington Gov. Jay Inslee on Thursday signed into law a bill that creates a first-in-the-nation statewide alert system for missing Indigenous people. The law creates a system similar to Amber Alerts and so-called silver alerts https://t.co/N1jxDNohFP
2022-03-31 21:54:59,"@sir_jabbers @CityNewsVAN So, the Amber alert whent across all of Canada? Why 2K radius? It was the police who found them, btw."
2022-03-31 21:48:27,"I saw a cloud of dust? and, boom the car ended up in front of me suddenly,"" Provencher said, adding that she had to think fast to avoid a collision.""I stopped on the side of the road and I ran to see if there were people inside – nobody,""https://t.co/TVlQcLM5hH …    @CTVMontreal"
2022-03-31 21:39:42,"@schwartz_vvitch ""Hmm, do you mean Alghouls, the one with the spikes?"" he asked her as they rode towards the graveyard ""Or the Graveir?"" Ghouls were more common, just like th Drowners.

""Hmm, I think they will be just ghouls, easy coin"" he would be alert though, a Witcher needed to be careful."
2022-03-31 21:39:01,"TULALIP, Wash. (AP) - Washington Gov. Jay Inslee has signed into law a bill that creates a first-in-the-nation statewide alert system for missing Indigenous people. The system is similar to Amber Alerts and so-called silver alerts."
2022-03-31 21:32:19,@norraist Currently the only alert systems are for “missing endangered persons” - children (Amber) and elderly/disabled (silver). This adds Indigenous people to that category automatically. It’s not redundant because there isn’t an all-encompassing alert for every missing person. https://t.co/7hOihjmaIP
2022-03-31 21:15:41,@CHPAlerts @FBI Why isn’t this an Amber Alert?
2022-03-31 21:14:30,"A man arrested in Texas after allegedly picking up a teen girl in Utah and taking her to San Antonio has been criminally charged.
https://t.co/q5XhCLu6GB"
2022-03-31 20:52:03,"Washington is the first state to create an alert system for missing Indigenous people: It's a system similar to Amber Alerts and silver alerts, which are used respectively for missing children and vulnerable adults in many states. https://t.co/DRdP3z0Bae"
2022-03-31 20:50:30,"I wrote about this for @Crosscut last month. Now, Washington Governor Jay Inslee has officially signed SHB1725 into law‼️#MMIP #NativeNews 

https://t.co/oQXdQLH7Id"
2022-03-31 20:41:11,@jesssicadavisss @ClaybornJessica @SleuthieGoosie @Sparklebugg The 911 call must be key and I bet it heavily weighed on decision to not issue Amber Alert.
